onset	duration	trial_type	value	sample
21.497	4.0	twist_supination	2	21497
31.554	4.0	twist_supination	2	31554
41.605	4.0	twist_pronation	1	41605
51.658	4.0	twist_supination	2	51658
61.709	4.0	twist_supination	2	61709
71.756	4.0	twist_supination	2	71756
81.806	4.0	twist_pronation	1	81806
91.856	4.0	twist_pronation	1	91856
101.902	4.0	twist_supination	2	101902
111.947	4.0	twist_supination	2	111947
121.993	4.0	twist_supination	2	121993
132.038	4.0	twist_supination	2	132038
142.082	4.0	twist_supination	2	142082
152.129	4.0	twist_pronation	1	152129
162.178	4.0	twist_supination	2	162178
172.228	4.0	twist_pronation	1	172228
182.281	4.0	twist_supination	2	182281
192.328	4.0	twist_pronation	1	192328
202.373	4.0	twist_supination	2	202373
212.421	4.0	twist_pronation	1	212421
222.464	4.0	twist_supination	2	222464
232.511	4.0	twist_supination	2	232511
242.559	4.0	twist_pronation	1	242559
252.604	4.0	twist_pronation	1	252604
262.65	4.0	twist_pronation	1	262650
272.674	4.0	twist_supination	2	272674
282.702	4.0	twist_supination	2	282702
292.74	4.0	twist_pronation	1	292740
302.778	4.0	twist_supination	2	302778
312.822	4.0	twist_pronation	1	312822
322.866	4.0	twist_supination	2	322866
332.912	4.0	twist_pronation	1	332912
342.955	4.0	twist_supination	2	342955
352.999	4.0	twist_pronation	1	352999
363.044	4.0	twist_supination	2	363044
373.088	4.0	twist_pronation	1	373088
383.13	4.0	twist_pronation	1	383130
393.174	4.0	twist_pronation	1	393174
403.221	4.0	twist_pronation	1	403221
413.264	4.0	twist_supination	2	413264
423.31	4.0	twist_pronation	1	423310
433.362	4.0	twist_pronation	1	433362
443.407	4.0	twist_pronation	1	443407
453.456	4.0	twist_supination	2	453456
463.504	4.0	twist_pronation	1	463504
473.553	4.0	twist_pronation	1	473553
483.601	4.0	twist_supination	2	483601
493.646	4.0	twist_pronation	1	493646
503.692	4.0	twist_pronation	1	503692
513.736	4.0	twist_pronation	1	513736
523.783	4.0	twist_supination	2	523783
533.83	4.0	twist_supination	2	533830
543.876	4.0	twist_pronation	1	543876
553.925	4.0	twist_supination	2	553925
563.977	4.0	twist_pronation	1	563977
574.018	4.0	twist_supination	2	574018
584.053	4.0	twist_supination	2	584053
594.096	4.0	twist_supination	2	594096
604.138	4.0	twist_pronation	1	604138
614.18	4.0	twist_pronation	1	614180
624.217	4.0	twist_supination	2	624217
634.263	4.0	twist_pronation	1	634263
644.303	4.0	twist_supination	2	644303
654.344	4.0	twist_supination	2	654344
664.381	4.0	twist_pronation	1	664381
674.426	4.0	twist_supination	2	674426
684.473	4.0	twist_pronation	1	684473
694.516	4.0	twist_pronation	1	694516
704.562	4.0	twist_supination	2	704562
714.603	4.0	twist_pronation	1	714603
724.656	4.0	twist_supination	2	724656
734.699	4.0	twist_pronation	1	734699
744.749	4.0	twist_supination	2	744749
754.8	4.0	twist_pronation	1	754800
764.846	4.0	twist_pronation	1	764846
774.895	4.0	twist_pronation	1	774895
784.937	4.0	twist_supination	2	784937
794.979	4.0	twist_supination	2	794979
805.025	4.0	twist_supination	2	805025
815.069	4.0	twist_pronation	1	815069
825.12	4.0	twist_pronation	1	825120
835.18	4.0	twist_pronation	1	835180
845.229	4.0	twist_supination	2	845229
855.277	4.0	twist_pronation	1	855277
865.328	4.0	twist_supination	2	865328
875.376	4.0	twist_supination	2	875376
885.425	4.0	twist_supination	2	885425
895.473	4.0	twist_pronation	1	895473
905.518	4.0	twist_pronation	1	905518
915.565	4.0	twist_pronation	1	915565
925.611	4.0	twist_supination	2	925611
935.659	4.0	twist_pronation	1	935659
945.707	4.0	twist_supination	2	945707
955.756	4.0	twist_pronation	1	955756
965.803	4.0	twist_supination	2	965803
975.844	4.0	twist_supination	2	975844
985.891	4.0	twist_pronation	1	985891
995.938	4.0	twist_supination	2	995938
1005.985	4.0	twist_supination	2	1005985
1016.032	4.0	twist_pronation	1	1016032
